Year,Month,Day,Prevailing Wind Direction (°)_ King's Park_Value,completeness
1992,12,22,120,C
1992,12,23,010,C
1992,12,24,040,C
1992,12,25,110,C
1992,12,26,120,C
1992,12,27,110,C
1992,12,28,260,C
1992,12,29,120,#
1992,12,30,110,C
1992,12,31,010,C
1993,1,1,120,C
1993,1,2,120,C
1993,1,3,120,C
1993,1,4,120,C
1993,1,5,110,#
1993,1,6,120,#
1993,1,7,120,C
1993,1,8,120,#
1993,1,9,120,C
1993,1,10,120,#
1993,1,11,120,#
1993,1,12,120,#
1993,1,13,110,C
1993,1,14,270,C
1993,1,15,010,C
1993,1,16,010,C
1993,1,17,010,C
1993,1,18,010,C
1993,1,19,010,C
1993,1,20,010,C
1993,1,21,020,C
1993,1,22,020,C
1993,1,23,360,C
1993,1,24,010,C
1993,1,25,020,C
1993,1,26,040,#
1993,1,27,020,#
1993,1,28,030,C
1993,1,29,260,#
1993,1,30,120,C
1993,1,31,120,C
1993,2,1,120,C
1993,2,2,120,#
1993,2,3,120,C
1993,2,4,130,C
1993,2,5,120,C
1993,2,6,110,C
1993,2,7,270,C
1993,2,8,120,C
1993,2,9,120,C
1993,2,10,120,C
1993,2,11,270,C
1993,2,12,110,C
1993,2,13,120,C
1993,2,14,110,C
1993,2,15,120,C
1993,2,16,260,C
1993,2,17,120,C
1993,2,18,120,C
1993,2,19,120,C
1993,2,20,120,C
1993,2,21,110,#
1993,2,22,120,C
1993,2,23,110,C
1993,2,24,120,C
1993,2,25,120,C
1993,2,26,120,C
1993,2,27,120,C
1993,2,28,260,C
1993,3,1,010,C
1993,3,2,110,#
1993,3,3,120,#
1993,3,4,120,C
1993,3,5,120,C
1993,3,6,120,C
1993,3,7,120,C
1993,3,8,110,C
1993,3,9,120,#
1993,3,10,120,C
1993,3,11,280,C
1993,3,12,120,C
1993,3,13,120,C
1993,3,14,120,C
1993,3,15,200,C
1993,3,16,290,#
1993,3,17,120,C
1993,3,18,010,C
1993,3,19,020,#
1993,3,20,040,C
1993,3,21,120,C
1993,3,22,120,C
1993,3,23,120,C
1993,3,24,110,C
1993,3,25,160,C
1993,3,26,160,#
1993,3,27,160,C
1993,3,28,170,#
1993,3,29,110,C
1993,3,30,110,#
1993,3,31,120,C
1993,4,1,110,C
1993,4,2,160,C
1993,4,3,120,C
1993,4,4,120,#
1993,4,5,110,C
1993,4,6,110,C
1993,4,7,010,C
1993,4,8,090,C
1993,4,9,110,C
1993,4,10,120,C
1993,4,11,120,C
1993,4,12,120,C
1993,4,13,120,C
1993,4,14,120,C
1993,4,15,120,C
1993,4,16,270,C
1993,4,17,120,C
1993,4,18,120,C
1993,4,19,120,C
1993,4,20,120,C
1993,4,21,280,C
1993,4,22,280,C
1993,4,23,210,C
1993,4,24,250,C
1993,4,25,280,C
1993,4,26,120,C
1993,4,27,120,C
1993,4,28,160,C
1993,4,29,110,C
1993,4,30,120,C
1993,5,1,110,C
1993,5,2,200,C
1993,5,3,120,C
1993,5,4,120,C
1993,5,5,120,C
1993,5,6,100,C
1993,5,7,270,C
1993,5,8,280,C
1993,5,9,210,C
1993,5,10,120,C
1993,5,11,120,C
1993,5,12,120,C
1993,5,13,110,C
1993,5,14,110,C
1993,5,15,110,C
1993,5,16,120,C
1993,5,17,120,#
1993,5,18,120,C
1993,5,19,110,C
1993,5,20,110,C
1993,5,21,270,C
1993,5,22,280,C
1993,5,23,280,C
1993,5,24,110,C
1993,5,25,110,C
1993,5,26,110,#
1993,5,27,270,C
1993,5,28,360,#
1993,5,29,110,C
1993,5,30,120,C
1993,5,31,210,#
1993,6,1,240,C
1993,6,2,120,C
1993,6,3,120,C
1993,6,4,210,C
1993,6,5,250,C
1993,6,6,280,C
1993,6,7,280,#
1993,6,8,210,C
1993,6,9,170,C
1993,6,10,110,C
1993,6,11,100,#
1993,6,12,210,C
1993,6,13,220,C
1993,6,14,210,C
1993,6,15,220,#
1993,6,16,250,#
1993,6,17,150,#
1993,6,18,170,C
1993,6,19,170,C
1993,6,20,170,C
1993,6,21,160,C
1993,6,22,290,C
1993,6,23,280,C
1993,6,24,170,C
1993,6,25,120,#
1993,6,26,120,C
1993,6,27,070,#
1993,6,28,140,C
1993,6,29,170,#
1993,6,30,210,#
1993,7,1,210,#
1993,7,2,270,C
1993,7,3,170,C
1993,7,4,210,C
1993,7,5,170,C
1993,7,6,170,C
1993,7,7,170,C
1993,7,8,170,#
1993,7,9,120,C
1993,7,10,120,C
1993,7,11,120,C
1993,7,12,120,C
1993,7,13,130,C
1993,7,14,120,C
1993,7,15,140,C
1993,7,16,270,C
1993,7,17,270,C
1993,7,18,250,C
1993,7,19,260,C
1993,7,20,220,C
1993,7,21,170,C
1993,7,22,120,C
1993,7,23,280,C
1993,7,24,270,C
1993,7,25,270,#
1993,7,26,280,C
1993,7,27,270,C
1993,7,28,280,#
1993,7,29,270,C
1993,7,30,280,C
1993,7,31,120,C
1993,8,1,120,#
1993,8,2,130,#
1993,8,3,170,C
1993,8,4,270,C
1993,8,5,280,C
1993,8,6,270,C
1993,8,7,270,C
1993,8,8,290,C
1993,8,9,280,C
1993,8,10,280,C
1993,8,11,120,#
1993,8,12,130,#
1993,8,13,120,C
1993,8,14,120,C
1993,8,15,120,C
1993,8,16,110,#
1993,8,17,120,#
1993,8,18,120,C
1993,8,19,080,#
1993,8,20,120,#
1993,8,21,140,C
1993,8,22,140,#
1993,8,23,120,C
1993,8,24,270,C
1993,8,25,280,C
1993,8,26,280,C
1993,8,27,120,C
1993,8,28,120,C
1993,8,29,120,C
1993,8,30,120,#
1993,8,31,290,C
1993,9,1,280,C
1993,9,2,280,C
1993,9,3,280,C
1993,9,4,280,C
1993,9,5,120,C
1993,9,6,120,C
1993,9,7,120,C
1993,9,8,120,C
1993,9,9,120,C
1993,9,10,120,C
1993,9,11,120,C
1993,9,12,270,#
1993,9,13,280,C
1993,9,14,270,C
1993,9,15,120,C
1993,9,16,280,C
1993,9,17,130,C
1993,9,18,120,C
1993,9,19,120,C
1993,9,20,120,C
1993,9,21,120,C
1993,9,22,120,#
1993,9,23,110,C
1993,9,24,090,C
1993,9,25,080,C
1993,9,26,100,C
1993,9,27,170,C
1993,9,28,280,C
1993,9,29,290,#
1993,9,30,120,#
1993,10,1,110,C
1993,10,2,030,C
1993,10,3,030,C
1993,10,4,120,C
1993,10,5,020,#
1993,10,6,020,C
1993,10,7,020,C
1993,10,8,040,C
1993,10,9,120,#
1993,10,10,120,C
1993,10,11,120,C
1993,10,12,120,C
1993,10,13,010,C
1993,10,14,120,C
1993,10,15,110,C
1993,10,16,110,C
1993,10,17,120,C
1993,10,18,040,C
1993,10,19,040,C
1993,10,20,120,C
1993,10,21,120,C
1993,10,22,120,#
1993,10,23,120,C
1993,10,24,110,C
1993,10,25,120,C
1993,10,26,120,C
1993,10,27,120,C
1993,10,28,120,C
1993,10,29,010,C
1993,10,30,020,C
1993,10,31,030,C
1993,11,1,020,C
1993,11,2,030,C
1993,11,3,020,#
1993,11,4,100,#
1993,11,5,120,C
1993,11,6,120,C
1993,11,7,120,C
1993,11,8,120,C
1993,11,9,120,C
1993,11,10,120,C
1993,11,11,120,C
1993,11,12,270,C
1993,11,13,010,C
1993,11,14,120,C
1993,11,15,120,C
1993,11,16,120,C
1993,11,17,120,C
1993,11,18,120,C
1993,11,19,110,C
1993,11,20,120,C
1993,11,21,010,C
1993,11,22,120,C
1993,11,23,020,C
1993,11,24,020,C
1993,11,25,030,C
1993,11,26,020,C
1993,11,27,020,C
1993,11,28,120,C
1993,11,29,120,C
1993,11,30,010,C
1993,12,1,120,C
1993,12,2,120,C
1993,12,3,120,C
1993,12,4,020,C
1993,12,5,030,C
1993,12,6,020,C
1993,12,7,120,C
1993,12,8,120,C
1993,12,9,110,C
1993,12,10,020,C
1993,12,11,120,C
1993,12,12,120,C
1993,12,13,130,#
1993,12,14,010,C
1993,12,15,010,C
1993,12,16,010,C
1993,12,17,010,C
1993,12,18,020,C
1993,12,19,010,C
1993,12,20,100,C
1993,12,21,020,C
1993,12,22,020,#
1993,12,23,020,#
1993,12,24,020,C
1993,12,25,020,C
1993,12,26,280,C
1993,12,27,120,C
1993,12,28,120,#
1993,12,29,120,C
1993,12,30,120,C
1993,12,31,130,C
1994,1,1,130,C
1994,1,2,120,C
1994,1,3,120,C
1994,1,4,120,C
1994,1,5,130,C
1994,1,6,120,C
1994,1,7,120,C
1994,1,8,120,C
1994,1,9,130,C
1994,1,10,130,C
1994,1,11,120,C
1994,1,12,120,C
1994,1,13,010,C
1994,1,14,020,C
1994,1,15,120,C
1994,1,16,120,C
1994,1,17,120,C
1994,1,18,120,C
1994,1,19,120,C
1994,1,20,010,C
1994,1,21,020,C
1994,1,22,020,C
1994,1,23,130,C
1994,1,24,120,C
1994,1,25,120,C
1994,1,26,120,C
1994,1,27,130,C
1994,1,28,130,C
1994,1,29,120,C
1994,1,30,120,C
1994,1,31,120,C
1994,2,1,290,#
1994,2,2,120,C
1994,2,3,120,C
1994,2,4,120,#
1994,2,5,120,C
1994,2,6,120,C
1994,2,7,130,C
1994,2,8,120,C
1994,2,9,120,C
1994,2,10,120,C
1994,2,11,110,#
1994,2,12,120,C
1994,2,13,120,C
1994,2,14,120,C
1994,2,15,120,C
1994,2,16,120,#
1994,2,17,120,C
1994,2,18,120,C
1994,2,19,120,C
1994,2,20,020,C
1994,2,21,130,C
1994,2,22,120,C
1994,2,23,120,C
1994,2,24,120,C
1994,2,25,010,C
1994,2,26,100,C
1994,2,27,020,C
1994,2,28,020,C
1994,3,1,020,C
1994,3,2,020,C
1994,3,3,270,C
1994,3,4,120,C
1994,3,5,120,C
1994,3,6,120,C
1994,3,7,120,C
1994,3,8,120,C
1994,3,9,120,#
1994,3,10,120,#
1994,3,11,120,C
1994,3,12,120,#
1994,3,13,120,C
1994,3,14,020,C
1994,3,15,120,C
1994,3,16,130,#
1994,3,17,270,C
1994,3,18,130,#
1994,3,19,300,C
1994,3,20,120,C
1994,3,21,120,C
1994,3,22,120,C
1994,3,23,030,C
1994,3,24,120,C
1994,3,25,120,#
1994,3,26,120,C
1994,3,27,120,#
1994,3,28,120,#
1994,3,29,120,#
1994,3,30,120,#
1994,3,31,120,#
1994,4,1,120,C
1994,4,2,120,#
1994,4,3,120,#
1994,4,4,120,#
1994,4,5,120,#
1994,4,6,120,#
1994,4,7,120,#
1994,4,8,120,#
1994,4,9,120,C
1994,4,10,120,C
1994,4,11,120,C
1994,4,12,120,C
1994,4,13,050,C
1994,4,14,110,C
1994,4,15,120,C
1994,4,16,120,C
1994,4,17,120,#
1994,4,18,120,C
1994,4,19,170,C
1994,4,20,170,C
1994,4,21,120,C
1994,4,22,120,C
1994,4,23,120,C
1994,4,24,170,C
1994,4,25,210,#
1994,4,26,210,C
1994,4,27,250,C
1994,4,28,280,#
1994,4,29,280,#
1994,4,30,110,C
1994,5,1,170,C
1994,5,2,210,C
1994,5,3,280,C
1994,5,4,030,C
1994,5,5,120,C
1994,5,6,120,C
1994,5,7,120,C
1994,5,8,120,C
1994,5,9,120,C
1994,5,10,180,C
1994,5,11,280,C
1994,5,12,120,C
1994,5,13,130,C
1994,5,14,250,C
1994,5,15,250,C
1994,5,16,290,#
1994,5,17,280,C
1994,5,18,120,C
1994,5,19,120,C
1994,5,20,110,C
1994,5,21,120,#
1994,5,22,290,C
1994,5,23,130,C
1994,5,24,140,#
1994,5,25,280,C
1994,5,26,280,C
1994,5,27,280,C
1994,5,28,110,C
1994,5,29,120,C
1994,5,30,120,C
1994,5,31,110,C
1994,6,1,120,#
1994,6,2,110,C
1994,6,3,090,#
1994,6,4,090,C
1994,6,5,120,C
1994,6,6,100,C
1994,6,7,120,C
1994,6,8,140,C
1994,6,9,170,C
1994,6,10,210,C
1994,6,11,170,C
1994,6,12,160,C
1994,6,13,210,C
1994,6,14,220,C
1994,6,15,210,C
1994,6,16,160,C
1994,6,17,210,C
1994,6,18,290,C
1994,6,19,120,C
1994,6,20,120,C
1994,6,21,120,C
1994,6,22,130,C
1994,6,23,120,#
1994,6,24,120,#
1994,6,25,140,C
1994,6,26,160,C
1994,6,27,130,C
1994,6,28,120,C
1994,6,29,120,C
1994,6,30,290,C
1994,7,1,290,C
1994,7,2,290,C
1994,7,3,120,C
1994,7,4,130,C
1994,7,5,140,C
1994,7,6,120,C
1994,7,7,120,C
1994,7,8,120,C
1994,7,9,120,C
1994,7,10,280,C
1994,7,11,280,C
1994,7,12,140,#
1994,7,13,120,C
1994,7,14,120,#
1994,7,15,110,C
1994,7,16,120,C
1994,7,17,120,C
1994,7,18,120,C
1994,7,19,120,C
1994,7,20,120,C
1994,7,21,120,C
1994,7,22,160,#
1994,7,23,120,#
1994,7,24,120,C
1994,7,25,120,C
1994,7,26,120,C
1994,7,27,120,C
1994,7,28,120,C
1994,7,29,120,C
1994,7,30,120,C
1994,7,31,120,C
1994,8,1,120,C
1994,8,2,120,#
1994,8,3,270,C
1994,8,4,280,C
1994,8,5,170,#
1994,8,6,170,#
1994,8,7,120,#
1994,8,8,280,C
1994,8,9,290,C
1994,8,10,220,C
1994,8,11,250,#
1994,8,12,270,C
1994,8,13,280,C
1994,8,14,270,C
1994,8,15,290,C
1994,8,16,120,#
1994,8,17,110,#
1994,8,18,290,C
1994,8,19,280,C
1994,8,20,280,#
1994,8,21,270,C
1994,8,22,280,#
1994,8,23,290,C
1994,8,24,130,C
1994,8,25,290,C
1994,8,26,100,C
1994,8,27,120,C
1994,8,28,120,C
1994,8,29,120,C
1994,8,30,120,C
1994,8,31,120,C
1994,9,1,270,C
1994,9,2,280,#
1994,9,3,120,C
1994,9,4,120,C
1994,9,5,120,C
1994,9,6,120,#
1994,9,7,120,C
1994,9,8,120,C
1994,9,9,290,C
1994,9,10,280,#
1994,9,11,280,C
1994,9,12,090,#
1994,9,13,110,C
1994,9,14,110,C
1994,9,15,110,C
1994,9,16,120,C
1994,9,17,120,C
1994,9,18,120,C
1994,9,19,120,C
1994,9,20,120,C
1994,9,21,120,C
1994,9,22,290,C
1994,9,23,120,#
1994,9,24,080,#
1994,9,25,120,C
1994,9,26,120,#
1994,9,27,120,C
1994,9,28,110,C
1994,9,29,120,C
1994,9,30,120,C
1994,10,1,120,C
1994,10,2,120,C
1994,10,3,120,#
1994,10,4,120,C
1994,10,5,120,C
1994,10,6,120,C
1994,10,7,120,C
1994,10,8,120,C
1994,10,9,010,C
1994,10,10,010,C
1994,10,11,020,C
1994,10,12,120,C
1994,10,13,120,C
1994,10,14,120,C
1994,10,15,120,C
1994,10,16,120,C
1994,10,17,120,C
1994,10,18,120,C
1994,10,19,120,C
1994,10,20,020,C
1994,10,21,030,C
1994,10,22,020,C
1994,10,23,030,C
1994,10,24,030,#
1994,10,25,030,C
1994,10,26,030,C
1994,10,27,040,C
1994,10,28,040,#
1994,10,29,120,C
1994,10,30,040,C
1994,10,31,130,C
1994,11,1,120,C
1994,11,2,120,C
1994,11,3,130,C
1994,11,4,120,C
1994,11,5,120,C
1994,11,6,120,C
1994,11,7,120,C
1994,11,8,120,C
1994,11,9,120,#
1994,11,10,130,C
1994,11,11,120,C
1994,11,12,120,C
1994,11,13,120,C
1994,11,14,120,C
1994,11,15,120,C
1994,11,16,120,C
1994,11,17,130,C
1994,11,18,120,#
1994,11,19,120,C
1994,11,20,120,C
1994,11,21,120,C
1994,11,22,120,C
1994,11,23,120,C
1994,11,24,120,C
1994,11,25,120,C
1994,11,26,120,C
1994,11,27,120,C
1994,11,28,120,C
1994,11,29,120,C
1994,11,30,120,C
1994,12,1,120,C
1994,12,2,120,C
1994,12,3,120,C
1994,12,4,020,C
1994,12,5,020,C
1994,12,6,120,C
1994,12,7,120,#
1994,12,8,120,#
1994,12,9,130,#
1994,12,10,120,#
1994,12,11,120,C
1994,12,12,120,#
1994,12,13,020,C
1994,12,14,110,C
1994,12,15,010,C
1994,12,16,120,C
1994,12,17,020,C
1994,12,18,020,C
1994,12,19,030,C
1994,12,20,010,C
1994,12,21,020,C
1994,12,22,130,C
1994,12,23,120,C
1994,12,24,130,C
1994,12,25,040,C
1994,12,26,010,C
1994,12,27,030,C
1994,12,28,030,C
1994,12,29,120,C
1994,12,30,120,#
1994,12,31,100,C
1995,1,1,050,#
1995,1,2,120,#
1995,1,3,120,#
1995,1,4,020,#
1995,1,5,020,#
1995,1,6,030,#
1995,1,7,130,#
1995,1,8,120,#
1995,1,9,120,#
1995,1,10,120,C
1995,1,11,120,C
1995,1,12,020,C
1995,1,13,020,C
1995,1,14,120,C
1995,1,15,120,#
1995,1,16,030,C
1995,1,17,120,C
1995,1,18,120,C
1995,1,19,130,C
1995,1,20,130,C
1995,1,21,130,C
1995,1,22,130,C
1995,1,23,020,C
1995,1,24,050,C
1995,1,25,130,C
1995,1,26,120,C
1995,1,27,020,C
1995,1,28,020,C
1995,1,29,020,C
1995,1,30,030,C
1995,1,31,030,C
1995,2,1,030,C
1995,2,2,130,C
1995,2,3,110,C
1995,2,4,030,C
1995,2,5,040,C
1995,2,6,130,#
1995,2,7,130,C
1995,2,8,130,#
1995,2,9,120,C
1995,2,10,120,C
1995,2,11,130,C
1995,2,12,120,C
1995,2,13,120,C
1995,2,14,120,C
1995,2,15,130,C
1995,2,16,120,C
1995,2,17,120,C
1995,2,18,130,C
1995,2,19,130,C
1995,2,20,130,C
1995,2,21,120,C
1995,2,22,120,#
1995,2,23,130,C
1995,2,24,130,C
1995,2,25,020,#
1995,2,26,020,C
1995,2,27,120,C
1995,2,28,120,C
1995,3,1,120,C
1995,3,2,130,C
1995,3,3,040,C
1995,3,4,030,C
1995,3,5,120,C
1995,3,6,130,C
1995,3,7,130,C
1995,3,8,120,C
1995,3,9,120,C
1995,3,10,120,C
1995,3,11,130,C
1995,3,12,120,C
1995,3,13,120,C
1995,3,14,130,C
1995,3,15,130,C
1995,3,16,120,#
1995,3,17,010,C
1995,3,18,010,C
1995,3,19,130,C
1995,3,20,130,C
1995,3,21,120,#
1995,3,22,290,C
1995,3,23,120,C
1995,3,24,120,C
1995,3,25,040,C
1995,3,26,130,C
1995,3,27,120,#
1995,3,28,130,C
1995,3,29,120,#
1995,3,30,120,C
1995,3,31,130,C
1995,4,1,120,C
1995,4,2,120,#
1995,4,3,120,#
1995,4,4,120,C
1995,4,5,130,C
1995,4,6,130,C
1995,4,7,130,C
1995,4,8,130,C
1995,4,9,120,C
1995,4,10,130,C
1995,4,11,130,C
1995,4,12,120,#
1995,4,13,120,C
1995,4,14,170,C
1995,4,15,200,#
1995,4,16,160,C
1995,4,17,120,C
1995,4,18,120,C
1995,4,19,290,C
1995,4,20,120,C
1995,4,21,120,C
1995,4,22,130,C
1995,4,23,120,C
1995,4,24,120,C
1995,4,25,120,#
1995,4,26,120,C
1995,4,27,120,#
1995,4,28,120,C
1995,4,29,130,C
1995,4,30,120,C
1995,5,1,290,C
1995,5,2,130,C
1995,5,3,120,#
1995,5,4,120,C
1995,5,5,120,C
1995,5,6,120,C
1995,5,7,120,C
1995,5,8,120,#
1995,5,9,120,C
1995,5,10,120,C
1995,5,11,120,C
1995,5,12,120,C
1995,5,13,120,C
1995,5,14,280,C
1995,5,15,120,C
1995,5,16,110,C
1995,5,17,120,C
1995,5,18,120,C
1995,5,19,220,#
1995,5,20,220,#
1995,5,21,260,C
1995,5,22,120,#
1995,5,23,120,C
1995,5,24,120,#
1995,5,25,130,#
1995,5,26,120,#
1995,5,27,170,C
1995,5,28,120,C
1995,5,29,280,C
1995,5,30,130,C
1995,5,31,120,C
1995,6,1,120,C
1995,6,2,120,C
1995,6,3,120,C
1995,6,4,290,C
1995,6,5,120,C
1995,6,6,120,C
1995,6,7,120,#
1995,6,8,120,#
1995,6,9,280,#
1995,6,10,120,C
1995,6,11,120,C
1995,6,12,120,C
1995,6,13,120,C
1995,6,14,120,C
1995,6,15,210,#
1995,6,16,220,#
1995,6,17,220,#
1995,6,18,210,#
1995,6,19,220,C
1995,6,20,220,C
1995,6,21,220,C
1995,6,22,220,C
1995,6,23,220,#
1995,6,24,250,C
1995,6,25,220,C
1995,6,26,220,C
1995,6,27,220,C
1995,6,28,210,C
1995,6,29,150,C
1995,6,30,120,C
1995,7,1,120,C
1995,7,2,120,C
1995,7,3,290,#
1995,7,4,290,C
1995,7,5,160,C
1995,7,6,180,#
1995,7,7,120,#
1995,7,8,120,C
1995,7,9,290,#
1995,7,10,280,#
1995,7,11,270,#
1995,7,12,130,#
1995,7,13,120,C
1995,7,14,120,C
1995,7,15,120,#
1995,7,16,120,C
1995,7,17,120,C
1995,7,18,290,#
1995,7,19,290,#
1995,7,20,280,C
1995,7,21,260,C
1995,7,22,270,C
1995,7,23,270,C
1995,7,24,120,#
1995,7,25,120,#
1995,7,26,290,C
1995,7,27,120,C
1995,7,28,120,#
1995,7,29,130,C
1995,7,30,120,C
1995,7,31,280,#
1995,8,1,220,C
1995,8,2,270,C
1995,8,3,030,#
1995,8,4,120,#
1995,8,5,120,C
1995,8,6,120,#
1995,8,7,120,C
1995,8,8,120,C
1995,8,9,290,C
1995,8,10,130,C
1995,8,11,090,C
1995,8,12,080,#
1995,8,13,210,#
1995,8,14,120,#
1995,8,15,130,C
1995,8,16,120,C
1995,8,17,120,C
1995,8,18,130,C
1995,8,19,130,C
1995,8,20,130,C
1995,8,21,130,C
1995,8,22,130,#
1995,8,23,290,#
1995,8,24,280,C
1995,8,25,130,C
1995,8,26,120,C
1995,8,27,120,C
1995,8,28,120,C
1995,8,29,130,#
1995,8,30,280,C
1995,8,31,290,C
1995,9,1,130,#
1995,9,2,130,C
1995,9,3,120,C
1995,9,4,290,#
1995,9,5,130,C
1995,9,6,120,C
1995,9,7,130,#
1995,9,8,130,C
1995,9,9,280,C
1995,9,10,120,C
1995,9,11,130,C
1995,9,12,130,C
1995,9,13,130,C
1995,9,14,120,C
1995,9,15,120,#
1995,9,16,130,C
1995,9,17,120,#
1995,9,18,120,C
1995,9,19,100,#
1995,9,20,080,C
1995,9,21,030,C
1995,9,22,290,C
1995,9,23,120,C
1995,9,24,120,C
1995,9,25,120,C
1995,9,26,120,C
1995,9,27,120,C
1995,9,28,120,C
1995,9,29,130,C
1995,9,30,120,#
1995,10,1,120,#
1995,10,2,090,C
1995,10,3,140,#
1995,10,4,130,#
1995,10,5,120,#
1995,10,6,100,#
1995,10,7,***,
1995,10,8,050,#
1995,10,9,050,#
1995,10,10,120,#
1995,10,11,120,#
1995,10,12,120,C
1995,10,13,120,C
1995,10,14,120,C
1995,10,15,120,#
1995,10,16,110,#
1995,10,17,120,C
1995,10,18,120,#
1995,10,19,120,C
1995,10,20,130,#
1995,10,21,130,C
1995,10,22,120,C
1995,10,23,120,#
1995,10,24,030,C
1995,10,25,030,C
1995,10,26,030,C
1995,10,27,030,#
1995,10,28,130,C
1995,10,29,130,C
1995,10,30,130,C
1995,10,31,040,#
1995,11,1,120,C
1995,11,2,120,C
1995,11,3,110,#
1995,11,4,030,C
1995,11,5,020,C
1995,11,6,120,C
1995,11,7,120,#
1995,11,8,030,C
1995,11,9,130,C
1995,11,10,120,C
1995,11,11,120,C
1995,11,12,120,C
1995,11,13,120,C
1995,11,14,010,C
1995,11,15,030,C
1995,11,16,030,C
1995,11,17,130,#
1995,11,18,120,C
1995,11,19,120,C
1995,11,20,040,C
1995,11,21,020,#
1995,11,22,010,C
1995,11,23,040,C
1995,11,24,050,#
1995,11,25,130,C
1995,11,26,130,#
1995,11,27,120,#
1995,11,28,110,#
1995,11,29,130,#
1995,11,30,120,#
1995,12,1,120,#
1995,12,2,120,#
1995,12,3,030,#
1995,12,4,020,#
1995,12,5,030,C
1995,12,6,030,C
1995,12,7,040,C
1995,12,8,030,C
1995,12,9,130,C
1995,12,10,120,C
1995,12,11,130,C
1995,12,12,120,C
1995,12,13,120,C
1995,12,14,130,C
1995,12,15,110,#
1995,12,16,120,C
1995,12,17,120,C
1995,12,18,010,C
