Year,Month,Day,Daily Mean Amount of Cloud (%) at the Hong Kong Observatory_Value,completeness
1949,7,22,49,C
1949,7,23,59,C
1949,7,24,38,C
1949,7,25,51,C
1949,7,26,53,C
1949,7,27,58,C
1949,7,28,73,C
1949,7,29,73,C
1949,7,30,52,C
1949,7,31,64,C
1949,8,1,90,C
1949,8,2,91,C
1949,8,3,98,C
1949,8,4,100,C
1949,8,5,86,C
1949,8,6,84,C
1949,8,7,85,C
1949,8,8,85,C
1949,8,9,85,C
1949,8,10,95,C
1949,8,11,85,C
1949,8,12,76,C
1949,8,13,65,C
1949,8,14,68,C
1949,8,15,79,C
1949,8,16,81,C
1949,8,17,79,C
1949,8,18,83,C
1949,8,19,90,C
1949,8,20,78,C
1949,8,21,69,C
1949,8,22,65,C
1949,8,23,54,C
1949,8,24,53,C
1949,8,25,53,C
1949,8,26,41,C
1949,8,27,37,C
1949,8,28,46,C
1949,8,29,59,C
1949,8,30,76,C
1949,8,31,96,C
1949,9,1,86,C
1949,9,2,55,C
1949,9,3,49,C
1949,9,4,34,C
1949,9,5,58,C
1949,9,6,79,C
1949,9,7,90,C
1949,9,8,98,C
1949,9,9,88,C
1949,9,10,72,C
1949,9,11,49,C
1949,9,12,19,C
1949,9,13,21,C
1949,9,14,61,C
1949,9,15,91,C
1949,9,16,80,C
1949,9,17,34,C
1949,9,18,38,C
1949,9,19,52,C
1949,9,20,93,C
1949,9,21,95,C
1949,9,22,76,C
1949,9,23,67,C
1949,9,24,53,C
1949,9,25,65,C
1949,9,26,32,C
1949,9,27,53,C
1949,9,28,77,C
1949,9,29,46,C
1949,9,30,18,C
1949,10,1,17,C
1949,10,2,65,C
1949,10,3,56,C
1949,10,4,83,C
1949,10,5,81,C
1949,10,6,90,C
1949,10,7,100,C
1949,10,8,96,C
1949,10,9,82,C
1949,10,10,82,C
1949,10,11,68,C
1949,10,12,65,C
1949,10,13,75,C
1949,10,14,76,C
1949,10,15,89,C
1949,10,16,79,C
1949,10,17,84,C
1949,10,18,31,C
1949,10,19,52,C
1949,10,20,55,C
1949,10,21,67,C
1949,10,22,90,C
1949,10,23,77,C
1949,10,24,70,C
1949,10,25,35,C
1949,10,26,19,C
1949,10,27,6,C
1949,10,28,59,C
1949,10,29,38,C
1949,10,30,39,C
1949,10,31,73,C
1949,11,1,86,C
1949,11,2,49,C
1949,11,3,18,C
1949,11,4,53,C
1949,11,5,88,C
1949,11,6,90,C
1949,11,7,68,C
1949,11,8,65,C
1949,11,9,78,C
1949,11,10,89,C
1949,11,11,100,C
1949,11,12,81,C
1949,11,13,57,C
1949,11,14,97,C
1949,11,15,100,C
1949,11,16,84,C
1949,11,17,85,C
1949,11,18,55,C
1949,11,19,9,C
1949,11,20,35,C
1949,11,21,24,C
1949,11,22,15,C
1949,11,23,14,C
1949,11,24,32,C
1949,11,25,33,C
1949,11,26,39,C
1949,11,27,30,C
1949,11,28,78,C
1949,11,29,38,C
1949,11,30,29,C
1949,12,1,25,C
1949,12,2,6,C
1949,12,3,2,C
1949,12,4,34,C
1949,12,5,83,C
1949,12,6,84,C
1949,12,7,97,C
1949,12,8,97,C
1949,12,9,100,C
1949,12,10,99,C
1949,12,11,90,C
1949,12,12,66,C
1949,12,13,70,C
1949,12,14,90,C
1949,12,15,99,C
1949,12,16,91,C
1949,12,17,86,C
1949,12,18,81,C
1949,12,19,93,C
1949,12,20,77,C
1949,12,21,42,C
1949,12,22,95,C
1949,12,23,81,C
1949,12,24,45,C
1949,12,25,94,C
1949,12,26,79,C
1949,12,27,31,C
1949,12,28,61,C
1949,12,29,49,C
1949,12,30,99,C
1949,12,31,99,C
1950,1,1,93,C
1950,1,2,63,C
1950,1,3,86,C
1950,1,4,91,C
1950,1,5,42,C
1950,1,6,10,C
1950,1,7,43,C
1950,1,8,61,C
1950,1,9,26,C
1950,1,10,13,C
1950,1,11,78,C
1950,1,12,94,C
1950,1,13,40,C
1950,1,14,38,C
1950,1,15,71,C
1950,1,16,92,C
1950,1,17,48,C
1950,1,18,74,C
1950,1,19,44,C
1950,1,20,36,C
1950,1,21,45,C
1950,1,22,93,C
1950,1,23,97,C
1950,1,24,69,C
1950,1,25,92,C
1950,1,26,59,C
1950,1,27,76,C
1950,1,28,90,C
1950,1,29,78,C
1950,1,30,15,C
1950,1,31,76,C
1950,2,1,94,C
1950,2,2,86,C
1950,2,3,90,C
1950,2,4,74,C
1950,2,5,31,C
1950,2,6,82,C
1950,2,7,93,C
1950,2,8,85,C
1950,2,9,87,C
1950,2,10,98,C
1950,2,11,88,C
1950,2,12,88,C
1950,2,13,100,C
1950,2,14,99,C
1950,2,15,99,C
1950,2,16,100,C
1950,2,17,100,C
1950,2,18,84,C
1950,2,19,99,C
1950,2,20,45,C
1950,2,21,34,C
1950,2,22,86,C
1950,2,23,93,C
1950,2,24,22,C
1950,2,25,52,C
1950,2,26,56,C
1950,2,27,89,C
1950,2,28,68,C
1950,3,1,61,C
1950,3,2,53,C
1950,3,3,20,C
1950,3,4,46,C
1950,3,5,65,C
1950,3,6,78,C
1950,3,7,57,C
1950,3,8,80,C
1950,3,9,97,C
1950,3,10,100,C
1950,3,11,98,C
1950,3,12,77,C
1950,3,13,82,C
1950,3,14,97,C
1950,3,15,89,C
1950,3,16,91,C
1950,3,17,73,C
1950,3,18,45,C
1950,3,19,43,C
1950,3,20,94,C
1950,3,21,81,C
1950,3,22,92,C
1950,3,23,73,C
1950,3,24,93,C
1950,3,25,88,C
1950,3,26,65,C
1950,3,27,70,C
1950,3,28,81,C
1950,3,29,66,C
1950,3,30,43,C
1950,3,31,90,C
1950,4,1,99,C
1950,4,2,84,C
1950,4,3,55,C
1950,4,4,79,C
1950,4,5,77,C
1950,4,6,99,C
1950,4,7,98,C
1950,4,8,100,C
1950,4,9,100,C
1950,4,10,97,C
1950,4,11,100,C
1950,4,12,99,C
1950,4,13,95,C
1950,4,14,85,C
1950,4,15,85,C
1950,4,16,93,C
1950,4,17,71,C
1950,4,18,78,C
1950,4,19,91,C
1950,4,20,85,C
1950,4,21,82,C
1950,4,22,98,C
1950,4,23,99,C
1950,4,24,100,C
1950,4,25,99,C
1950,4,26,97,C
1950,4,27,93,C
1950,4,28,92,C
1950,4,29,77,C
1950,4,30,70,C
1950,5,1,81,C
1950,5,2,78,C
1950,5,3,68,C
1950,5,4,79,C
1950,5,5,66,C
1950,5,6,84,C
1950,5,7,91,C
1950,5,8,34,C
1950,5,9,71,C
1950,5,10,10,C
1950,5,11,29,C
1950,5,12,61,C
1950,5,13,92,C
1950,5,14,99,C
1950,5,15,71,C
1950,5,16,71,C
1950,5,17,92,C
1950,5,18,98,C
1950,5,19,87,C
1950,5,20,100,C
1950,5,21,100,C
1950,5,22,99,C
1950,5,23,97,C
1950,5,24,94,C
1950,5,25,85,C
1950,5,26,75,C
1950,5,27,83,C
1950,5,28,85,C
1950,5,29,90,C
1950,5,30,94,C
1950,5,31,93,C
1950,6,1,95,C
1950,6,2,99,C
1950,6,3,80,C
1950,6,4,60,C
1950,6,5,76,C
1950,6,6,69,C
1950,6,7,81,C
1950,6,8,80,C
1950,6,9,93,C
1950,6,10,100,C
1950,6,11,100,C
1950,6,12,98,C
1950,6,13,95,C
1950,6,14,88,C
1950,6,15,92,C
1950,6,16,89,C
1950,6,17,73,C
1950,6,18,77,C
1950,6,19,85,C
1950,6,20,90,C
1950,6,21,87,C
1950,6,22,81,C
1950,6,23,69,C
1950,6,24,74,C
1950,6,25,84,C
1950,6,26,86,C
1950,6,27,80,C
1950,6,28,88,C
1950,6,29,91,C
1950,6,30,88,C
1950,7,1,87,C
1950,7,2,73,C
1950,7,3,60,C
1950,7,4,47,C
1950,7,5,43,C
1950,7,6,35,C
1950,7,7,73,C
1950,7,8,88,C
1950,7,9,81,C
1950,7,10,72,C
1950,7,11,63,C
1950,7,12,52,C
1950,7,13,55,C
1950,7,14,48,C
1950,7,15,48,C
1950,7,16,54,C
1950,7,17,50,C
1950,7,18,42,C
1950,7,19,60,C
1950,7,20,56,C
1950,7,21,64,C
1950,7,22,78,C
1950,7,23,91,C
1950,7,24,89,C
1950,7,25,78,C
1950,7,26,91,C
1950,7,27,98,C
1950,7,28,91,C
1950,7,29,89,C
1950,7,30,90,C
1950,7,31,82,C
1950,8,1,76,C
1950,8,2,64,C
1950,8,3,78,C
1950,8,4,86,C
1950,8,5,84,C
1950,8,6,85,C
1950,8,7,74,C
1950,8,8,69,C
1950,8,9,73,C
1950,8,10,71,C
1950,8,11,79,C
1950,8,12,93,C
1950,8,13,94,C
1950,8,14,86,C
1950,8,15,85,C
1950,8,16,88,C
1950,8,17,88,C
1950,8,18,82,C
1950,8,19,79,C
1950,8,20,69,C
1950,8,21,48,C
1950,8,22,27,C
1950,8,23,39,C
1950,8,24,68,C
1950,8,25,65,C
1950,8,26,85,C
1950,8,27,91,C
1950,8,28,93,C
1950,8,29,63,C
1950,8,30,43,C
1950,8,31,50,C
1950,9,1,22,C
1950,9,2,33,C
1950,9,3,29,C
1950,9,4,54,C
1950,9,5,76,C
1950,9,6,74,C
1950,9,7,78,C
1950,9,8,74,C
1950,9,9,68,C
1950,9,10,67,C
1950,9,11,44,C
1950,9,12,35,C
1950,9,13,11,C
1950,9,14,49,C
1950,9,15,69,C
1950,9,16,46,C
1950,9,17,31,C
1950,9,18,40,C
1950,9,19,55,C
1950,9,20,73,C
1950,9,21,79,C
1950,9,22,87,C
1950,9,23,88,C
1950,9,24,91,C
1950,9,25,85,C
1950,9,26,55,C
1950,9,27,81,C
1950,9,28,86,C
1950,9,29,85,C
1950,9,30,80,C
1950,10,1,73,C
1950,10,2,67,C
1950,10,3,75,C
1950,10,4,90,C
1950,10,5,100,C
1950,10,6,99,C
1950,10,7,97,C
1950,10,8,84,C
1950,10,9,78,C
1950,10,10,59,C
1950,10,11,57,C
1950,10,12,62,C
1950,10,13,80,C
1950,10,14,80,C
1950,10,15,72,C
1950,10,16,48,C
1950,10,17,22,C
1950,10,18,61,C
1950,10,19,80,C
1950,10,20,81,C
1950,10,21,53,C
1950,10,22,47,C
1950,10,23,56,C
1950,10,24,60,C
1950,10,25,50,C
1950,10,26,72,C
1950,10,27,67,C
1950,10,28,57,C
1950,10,29,53,C
1950,10,30,11,C
1950,10,31,61,C
1950,11,1,91,C
1950,11,2,60,C
1950,11,3,42,C
1950,11,4,34,C
1950,11,5,51,C
1950,11,6,52,C
1950,11,7,46,C
1950,11,8,48,C
1950,11,9,43,C
1950,11,10,60,C
1950,11,11,84,C
1950,11,12,91,C
1950,11,13,97,C
1950,11,14,88,C
1950,11,15,36,C
1950,11,16,68,C
1950,11,17,44,C
1950,11,18,23,C
1950,11,19,40,C
1950,11,20,91,C
1950,11,21,93,C
1950,11,22,70,C
1950,11,23,99,C
1950,11,24,93,C
1950,11,25,99,C
1950,11,26,97,C
1950,11,27,82,C
1950,11,28,84,C
1950,11,29,56,C
1950,11,30,98,C
1950,12,1,74,C
1950,12,2,58,C
1950,12,3,32,C
1950,12,4,66,C
1950,12,5,14,C
1950,12,6,86,C
1950,12,7,95,C
1950,12,8,79,C
1950,12,9,20,C
1950,12,10,2,C
1950,12,11,7,C
1950,12,12,40,C
1950,12,13,74,C
1950,12,14,64,C
1950,12,15,28,C
1950,12,16,81,C
1950,12,17,2,C
1950,12,18,4,C
1950,12,19,33,C
1950,12,20,99,C
1950,12,21,93,C
1950,12,22,34,C
1950,12,23,8,C
1950,12,24,18,C
1950,12,25,35,C
1950,12,26,54,C
1950,12,27,26,C
1950,12,28,86,C
1950,12,29,47,C
1950,12,30,38,C
1950,12,31,42,C
1951,1,1,90,C
1951,1,2,100,C
1951,1,3,97,C
1951,1,4,82,C
1951,1,5,41,C
1951,1,6,84,C
1951,1,7,52,C
1951,1,8,69,C
1951,1,9,86,C
1951,1,10,95,C
1951,1,11,98,C
1951,1,12,97,C
1951,1,13,97,C
1951,1,14,96,C
1951,1,15,77,C
1951,1,16,21,C
1951,1,17,53,C
1951,1,18,92,C
1951,1,19,63,C
1951,1,20,48,C
1951,1,21,24,C
1951,1,22,95,C
1951,1,23,97,C
1951,1,24,98,C
1951,1,25,98,C
1951,1,26,99,C
1951,1,27,100,C
1951,1,28,84,C
1951,1,29,41,C
1951,1,30,10,C
1951,1,31,6,C
1951,2,1,16,C
1951,2,2,9,C
1951,2,3,61,C
1951,2,4,17,C
1951,2,5,23,C
1951,2,6,89,C
1951,2,7,90,C
1951,2,8,82,C
1951,2,9,71,C
1951,2,10,77,C
1951,2,11,97,C
1951,2,12,100,C
1951,2,13,89,C
1951,2,14,25,C
1951,2,15,93,C
1951,2,16,100,C
1951,2,17,32,C
1951,2,18,12,C
1951,2,19,0,C
1951,2,20,65,C
1951,2,21,62,C
1951,2,22,70,C
1951,2,23,56,C
1951,2,24,49,C
1951,2,25,96,C
1951,2,26,100,C
1951,2,27,100,C
1951,2,28,100,C
1951,3,1,100,C
1951,3,2,99,C
1951,3,3,100,C
1951,3,4,99,C
1951,3,5,94,C
1951,3,6,96,C
1951,3,7,94,C
1951,3,8,90,C
1951,3,9,66,C
1951,3,10,22,C
1951,3,11,92,C
1951,3,12,99,C
1951,3,13,97,C
1951,3,14,95,C
1951,3,15,100,C
1951,3,16,100,C
1951,3,17,98,C
1951,3,18,72,C
1951,3,19,99,C
1951,3,20,100,C
1951,3,21,100,C
1951,3,22,100,C
1951,3,23,100,C
1951,3,24,100,C
1951,3,25,100,C
1951,3,26,98,C
1951,3,27,84,C
1951,3,28,93,C
1951,3,29,100,C
1951,3,30,100,C
1951,3,31,97,C
1951,4,1,76,C
1951,4,2,52,C
1951,4,3,69,C
1951,4,4,98,C
1951,4,5,97,C
1951,4,6,100,C
1951,4,7,99,C
1951,4,8,100,C
1951,4,9,100,C
1951,4,10,99,C
1951,4,11,54,C
1951,4,12,90,C
1951,4,13,85,C
1951,4,14,94,C
1951,4,15,92,C
1951,4,16,96,C
1951,4,17,90,C
1951,4,18,99,C
1951,4,19,93,C
1951,4,20,81,C
1951,4,21,86,C
1951,4,22,92,C
1951,4,23,98,C
1951,4,24,94,C
1951,4,25,89,C
1951,4,26,93,C
1951,4,27,76,C
1951,4,28,47,C
1951,4,29,24,C
1951,4,30,69,C
1951,5,1,90,C
1951,5,2,91,C
1951,5,3,93,C
1951,5,4,61,C
1951,5,5,29,C
1951,5,6,33,C
1951,5,7,65,C
1951,5,8,55,C
1951,5,9,27,C
1951,5,10,28,C
1951,5,11,72,C
1951,5,12,97,C
1951,5,13,97,C
1951,5,14,86,C
1951,5,15,78,C
1951,5,16,82,C
1951,5,17,89,C
1951,5,18,94,C
1951,5,19,86,C
1951,5,20,18,C
1951,5,21,60,C
1951,5,22,29,C
1951,5,23,61,C
1951,5,24,63,C
1951,5,25,91,C
1951,5,26,70,C
1951,5,27,91,C
1951,5,28,92,C
1951,5,29,89,C
1951,5,30,91,C
1951,5,31,86,C
1951,6,1,95,C
1951,6,2,94,C
1951,6,3,79,C
1951,6,4,86,C
1951,6,5,92,C
1951,6,6,92,C
1951,6,7,98,C
1951,6,8,93,C
1951,6,9,97,C
1951,6,10,92,C
1951,6,11,83,C
1951,6,12,93,C
1951,6,13,95,C
1951,6,14,87,C
1951,6,15,95,C
1951,6,16,91,C
1951,6,17,86,C
1951,6,18,72,C
1951,6,19,93,C
1951,6,20,88,C
1951,6,21,83,C
1951,6,22,78,C
1951,6,23,74,C
1951,6,24,63,C
1951,6,25,61,C
1951,6,26,65,C
1951,6,27,83,C
1951,6,28,84,C
1951,6,29,82,C
1951,6,30,65,C
1951,7,1,52,C
1951,7,2,36,C
1951,7,3,69,C
1951,7,4,68,C
1951,7,5,68,C
1951,7,6,79,C
1951,7,7,80,C
1951,7,8,87,C
1951,7,9,97,C
1951,7,10,98,C
1951,7,11,84,C
1951,7,12,84,C
1951,7,13,81,C
1951,7,14,84,C
1951,7,15,84,C
1951,7,16,51,C
1951,7,17,71,C
1951,7,18,49,C
1951,7,19,48,C
1951,7,20,45,C
1951,7,21,64,C
1951,7,22,56,C
1951,7,23,80,C
1951,7,24,93,C
1951,7,25,76,C
1951,7,26,80,C
1951,7,27,74,C
1951,7,28,73,C
1951,7,29,52,C
1951,7,30,29,C
1951,7,31,61,C
1951,8,1,86,C
1951,8,2,100,C
1951,8,3,92,C
1951,8,4,75,C
1951,8,5,70,C
1951,8,6,36,C
1951,8,7,69,C
1951,8,8,95,C
1951,8,9,99,C
1951,8,10,90,C
1951,8,11,80,C
1951,8,12,58,C
1951,8,13,83,C
1951,8,14,93,C
1951,8,15,95,C
1951,8,16,100,C
1951,8,17,90,C
1951,8,18,88,C
1951,8,19,88,C
1951,8,20,77,C
1951,8,21,73,C
1951,8,22,75,C
1951,8,23,83,C
1951,8,24,80,C
1951,8,25,73,C
1951,8,26,52,C
1951,8,27,51,C
1951,8,28,57,C
1951,8,29,63,C
1951,8,30,61,C
1951,8,31,60,C
1951,9,1,38,C
1951,9,2,84,C
1951,9,3,80,C
1951,9,4,64,C
1951,9,5,82,C
1951,9,6,85,C
1951,9,7,66,C
1951,9,8,52,C
1951,9,9,48,C
1951,9,10,28,C
1951,9,11,34,C
1951,9,12,44,C
1951,9,13,66,C
1951,9,14,78,C
1951,9,15,53,C
1951,9,16,88,C
1951,9,17,80,C
1951,9,18,51,C
1951,9,19,82,C
1951,9,20,89,C
1951,9,21,97,C
1951,9,22,98,C
1951,9,23,92,C
1951,9,24,78,C
1951,9,25,80,C
1951,9,26,38,C
1951,9,27,34,C
1951,9,28,25,C
1951,9,29,25,C
1951,9,30,51,C
1951,10,1,64,C
1951,10,2,60,C
1951,10,3,80,C
1951,10,4,85,C
1951,10,5,96,C
1951,10,6,74,C
1951,10,7,61,C
1951,10,8,45,C
1951,10,9,52,C
1951,10,10,81,C
1951,10,11,72,C
1951,10,12,58,C
1951,10,13,35,C
1951,10,14,8,C
1951,10,15,51,C
1951,10,16,82,C
1951,10,17,70,C
1951,10,18,36,C
1951,10,19,71,C
1951,10,20,81,C
1951,10,21,82,C
1951,10,22,87,C
1951,10,23,68,C
1951,10,24,79,C
1951,10,25,55,C
1951,10,26,88,C
1951,10,27,36,C
1951,10,28,8,C
1951,10,29,6,C
1951,10,30,9,C
1951,10,31,13,C
1951,11,1,9,C
1951,11,2,31,C
1951,11,3,33,C
1951,11,4,21,C
1951,11,5,42,C
1951,11,6,86,C
1951,11,7,84,C
1951,11,8,53,C
1951,11,9,79,C
1951,11,10,99,C
1951,11,11,100,C
1951,11,12,99,C
1951,11,13,97,C
1951,11,14,98,C
1951,11,15,95,C
1951,11,16,90,C
1951,11,17,94,C
1951,11,18,89,C
1951,11,19,86,C
1951,11,20,86,C
1951,11,21,68,C
1951,11,22,74,C
1951,11,23,50,C
1951,11,24,56,C
1951,11,25,49,C
1951,11,26,12,C
1951,11,27,64,C
1951,11,28,59,C
1951,11,29,90,C
1951,11,30,92,C
1951,12,1,85,C
1951,12,2,65,C
1951,12,3,61,C
1951,12,4,44,C
1951,12,5,40,C
1951,12,6,80,C
1951,12,7,51,C
1951,12,8,21,C
1951,12,9,15,C
1951,12,10,29,C
1951,12,11,37,C
1951,12,12,1,C
1951,12,13,2,C
1951,12,14,1,C
1951,12,15,1,C
1951,12,16,25,C
1951,12,17,45,C
1951,12,18,89,C
1951,12,19,91,C
1951,12,20,98,C
1951,12,21,81,C
1951,12,22,53,C
1951,12,23,51,C
1951,12,24,85,C
1951,12,25,94,C
1951,12,26,68,C
1951,12,27,95,C
1951,12,28,67,C
1951,12,29,94,C
1951,12,30,92,C
1951,12,31,76,C
1952,1,1,88,C
1952,1,2,70,C
1952,1,3,44,C
1952,1,4,77,C
1952,1,5,13,C
1952,1,6,2,C
1952,1,7,9,C
1952,1,8,5,C
1952,1,9,76,C
1952,1,10,88,C
1952,1,11,72,C
1952,1,12,92,C
1952,1,13,95,C
1952,1,14,32,C
1952,1,15,59,C
1952,1,16,97,C
1952,1,17,84,C
1952,1,18,67,C
1952,1,19,9,C
1952,1,20,1,C
1952,1,21,3,C
1952,1,22,56,C
1952,1,23,80,C
1952,1,24,72,C
1952,1,25,98,C
1952,1,26,88,C
1952,1,27,16,C
1952,1,28,32,C
1952,1,29,65,C
1952,1,30,94,C
1952,1,31,95,C
1952,2,1,94,C
1952,2,2,98,C
1952,2,3,100,C
1952,2,4,99,C
1952,2,5,96,C
1952,2,6,95,C
1952,2,7,71,C
1952,2,8,78,C
1952,2,9,63,C
1952,2,10,47,C
1952,2,11,80,C
1952,2,12,85,C
1952,2,13,88,C
1952,2,14,89,C
1952,2,15,89,C
1952,2,16,100,C
1952,2,17,100,C
1952,2,18,97,C
1952,2,19,39,C
1952,2,20,69,C
1952,2,21,58,C
1952,2,22,46,C
1952,2,23,47,C
1952,2,24,85,C
1952,2,25,90,C
1952,2,26,76,C
1952,2,27,84,C
1952,2,28,90,C
1952,2,29,89,C
1952,3,1,55,C
1952,3,2,73,C
1952,3,3,93,C
1952,3,4,100,C
1952,3,5,98,C
1952,3,6,95,C
1952,3,7,95,C
1952,3,8,99,C
1952,3,9,79,C
1952,3,10,99,C
1952,3,11,96,C
1952,3,12,97,C
1952,3,13,92,C
1952,3,14,90,C
1952,3,15,82,C
1952,3,16,70,C
1952,3,17,88,C
1952,3,18,84,C
1952,3,19,92,C
1952,3,20,100,C
1952,3,21,100,C
1952,3,22,58,C
1952,3,23,24,C
1952,3,24,89,C
1952,3,25,97,C
1952,3,26,94,C
1952,3,27,96,C
1952,3,28,94,C
1952,3,29,94,C
1952,3,30,61,C
1952,3,31,54,C
1952,4,1,94,C
1952,4,2,92,C
1952,4,3,88,C
1952,4,4,91,C
1952,4,5,84,C
1952,4,6,96,C
1952,4,7,68,C
1952,4,8,33,C
1952,4,9,85,C
1952,4,10,94,C
1952,4,11,92,C
1952,4,12,88,C
1952,4,13,95,C
1952,4,14,41,C
1952,4,15,44,C
1952,4,16,43,C
1952,4,17,7,C
1952,4,18,34,C
1952,4,19,77,C
1952,4,20,63,C
1952,4,21,87,C
1952,4,22,99,C
1952,4,23,98,C
1952,4,24,94,C
1952,4,25,98,C
1952,4,26,94,C
1952,4,27,95,C
1952,4,28,76,C
1952,4,29,84,C
1952,4,30,86,C
1952,5,1,88,C
1952,5,2,72,C
1952,5,3,71,C
1952,5,4,70,C
1952,5,5,80,C
1952,5,6,91,C
1952,5,7,94,C
1952,5,8,92,C
1952,5,9,91,C
1952,5,10,64,C
1952,5,11,24,C
1952,5,12,70,C
1952,5,13,86,C
1952,5,14,78,C
1952,5,15,88,C
1952,5,16,81,C
1952,5,17,68,C
1952,5,18,61,C
1952,5,19,32,C
1952,5,20,21,C
1952,5,21,41,C
1952,5,22,27,C
1952,5,23,73,C
1952,5,24,74,C
1952,5,25,91,C
1952,5,26,66,C
1952,5,27,86,C
1952,5,28,87,C
1952,5,29,82,C
1952,5,30,92,C
1952,5,31,86,C
1952,6,1,83,C
1952,6,2,77,C
1952,6,3,64,C
1952,6,4,81,C
1952,6,5,81,C
1952,6,6,86,C
1952,6,7,88,C
1952,6,8,83,C
1952,6,9,83,C
1952,6,10,68,C
1952,6,11,96,C
1952,6,12,94,C
1952,6,13,96,C
1952,6,14,98,C
1952,6,15,87,C
1952,6,16,55,C
1952,6,17,45,C
