Year,Month,Day,Mean Relative Humidity (%) - King's Park_Value,completeness
1992,11,9,36,C
1992,11,10,25,C
1992,11,11,45,C
1992,11,12,60,C
1992,11,13,52,C
1992,11,14,85,C
1992,11,15,79,C
1992,11,16,65,C
1992,11,17,75,C
1992,11,18,79,C
1992,11,19,77,C
1992,11,20,49,C
1992,11,21,45,C
1992,11,22,68,C
1992,11,23,56,C
1992,11,24,62,C
1992,11,25,44,#
1992,11,26,40,C
1992,11,27,57,C
1992,11,28,58,C
1992,11,29,58,C
1992,11,30,73,C
1992,12,1,67,C
1992,12,2,63,C
1992,12,3,66,C
1992,12,4,73,C
1992,12,5,75,C
1992,12,6,77,C
1992,12,7,76,C
1992,12,8,78,C
1992,12,9,76,C
1992,12,10,78,C
1992,12,11,76,C
1992,12,12,80,C
1992,12,13,89,C
1992,12,14,85,C
1992,12,15,76,C
1992,12,16,72,C
1992,12,17,68,C
1992,12,18,75,C
1992,12,19,72,C
1992,12,20,64,C
1992,12,21,82,#
1992,12,22,81,C
1992,12,23,60,C
1992,12,24,46,C
1992,12,25,71,C
1992,12,26,96,C
1992,12,27,95,C
1992,12,28,89,C
1992,12,29,95,C
1992,12,30,88,C
1992,12,31,67,C
1993,1,1,70,C
1993,1,2,74,C
1993,1,3,84,C
1993,1,4,84,C
1993,1,5,83,C
1993,1,6,87,C
1993,1,7,87,C
1993,1,8,87,C
1993,1,9,80,C
1993,1,10,75,#
1993,1,11,86,C
1993,1,12,83,C
1993,1,13,88,C
1993,1,14,87,C
1993,1,15,82,C
1993,1,16,61,C
1993,1,17,73,C
1993,1,18,88,C
1993,1,19,76,C
1993,1,20,82,C
1993,1,21,78,C
1993,1,22,78,C
1993,1,23,85,C
1993,1,24,54,C
1993,1,25,54,C
1993,1,26,52,C
1993,1,27,26,C
1993,1,28,27,C
1993,1,29,50,C
1993,1,30,40,C
1993,1,31,61,C
1993,2,1,58,C
1993,2,2,66,C
1993,2,3,68,C
1993,2,4,69,C
1993,2,5,73,C
1993,2,6,87,C
1993,2,7,81,C
1993,2,8,76,C
1993,2,9,78,C
1993,2,10,80,C
1993,2,11,74,C
1993,2,12,63,C
1993,2,13,67,C
1993,2,14,73,C
1993,2,15,77,C
1993,2,16,71,C
1993,2,17,72,C
1993,2,18,85,C
1993,2,19,90,C
1993,2,20,94,C
1993,2,21,93,C
1993,2,22,83,C
1993,2,23,77,C
1993,2,24,79,C
1993,2,25,81,C
1993,2,26,84,C
1993,2,27,86,C
1993,2,28,79,C
1993,3,1,65,C
1993,3,2,69,C
1993,3,3,80,C
1993,3,4,79,C
1993,3,5,75,C
1993,3,6,80,C
1993,3,7,82,C
1993,3,8,79,C
1993,3,9,79,C
1993,3,10,81,C
1993,3,11,78,C
1993,3,12,84,C
1993,3,13,86,C
1993,3,14,89,C
1993,3,15,86,C
1993,3,16,92,C
1993,3,17,91,C
1993,3,18,83,C
1993,3,19,81,C
1993,3,20,87,C
1993,3,21,87,C
1993,3,22,86,C
1993,3,23,92,C
1993,3,24,90,C
1993,3,25,87,C
1993,3,26,85,C
1993,3,27,84,C
1993,3,28,81,C
1993,3,29,88,C
1993,3,30,88,C
1993,3,31,91,C
1993,4,1,90,C
1993,4,2,94,C
1993,4,3,88,C
1993,4,4,85,C
1993,4,5,90,C
1993,4,6,89,C
1993,4,7,85,C
1993,4,8,83,C
1993,4,9,81,C
1993,4,10,79,C
1993,4,11,84,C
1993,4,12,83,C
1993,4,13,80,C
1993,4,14,84,C
1993,4,15,86,C
1993,4,16,85,C
1993,4,17,93,C
1993,4,18,95,C
1993,4,19,95,C
1993,4,20,97,C
1993,4,21,97,C
1993,4,22,85,C
1993,4,23,88,C
1993,4,24,86,C
1993,4,25,92,C
1993,4,26,88,C
1993,4,27,91,C
1993,4,28,84,C
1993,4,29,91,C
1993,4,30,89,C
1993,5,1,95,C
1993,5,2,91,C
1993,5,3,90,C
1993,5,4,94,C
1993,5,5,95,C
1993,5,6,86,C
1993,5,7,80,C
1993,5,8,81,C
1993,5,9,86,C
1993,5,10,85,C
1993,5,11,89,C
1993,5,12,88,C
1993,5,13,87,C
1993,5,14,81,C
1993,5,15,84,C
1993,5,16,81,C
1993,5,17,84,C
1993,5,18,80,C
1993,5,19,80,C
1993,5,20,81,C
1993,5,21,79,C
1993,5,22,83,C
1993,5,23,85,C
1993,5,24,93,C
1993,5,25,92,C
1993,5,26,93,C
1993,5,27,84,C
1993,5,28,55,C
1993,5,29,56,C
1993,5,30,70,C
1993,5,31,84,#
1993,6,1,85,C
1993,6,2,89,C
1993,6,3,96,C
1993,6,4,87,C
1993,6,5,89,C
1993,6,6,82,C
1993,6,7,84,#
1993,6,8,80,C
1993,6,9,88,C
1993,6,10,94,C
1993,6,11,93,#
1993,6,12,80,C
1993,6,13,85,C
1993,6,14,81,C
1993,6,15,81,C
1993,6,16,91,#
1993,6,17,85,#
1993,6,18,82,C
1993,6,19,79,C
1993,6,20,81,C
1993,6,21,80,C
1993,6,22,79,C
1993,6,23,81,C
1993,6,24,83,C
1993,6,25,83,C
1993,6,26,81,C
1993,6,27,76,C
1993,6,28,87,C
1993,6,29,86,C
1993,6,30,82,C
1993,7,1,81,C
1993,7,2,79,C
1993,7,3,79,C
1993,7,4,77,C
1993,7,5,76,C
1993,7,6,77,C
1993,7,7,76,C
1993,7,8,78,C
1993,7,9,78,C
1993,7,10,81,C
1993,7,11,87,C
1993,7,12,86,C
1993,7,13,89,C
1993,7,14,84,C
1993,7,15,81,C
1993,7,16,77,C
1993,7,17,79,C
1993,7,18,79,C
1993,7,19,80,C
1993,7,20,78,C
1993,7,21,84,C
1993,7,22,88,C
1993,7,23,79,C
1993,7,24,77,C
1993,7,25,76,C
1993,7,26,78,C
1993,7,27,78,C
1993,7,28,77,C
1993,7,29,77,C
1993,7,30,83,C
1993,7,31,88,C
1993,8,1,88,C
1993,8,2,84,C
1993,8,3,83,C
1993,8,4,79,C
1993,8,5,76,C
1993,8,6,78,C
1993,8,7,80,C
1993,8,8,82,C
1993,8,9,83,C
1993,8,10,85,C
1993,8,11,84,C
1993,8,12,84,C
1993,8,13,88,C
1993,8,14,82,C
1993,8,15,86,C
1993,8,16,90,C
1993,8,17,92,C
1993,8,18,82,C
1993,8,19,72,C
1993,8,20,85,C
1993,8,21,86,C
1993,8,22,85,C
1993,8,23,82,C
1993,8,24,75,C
1993,8,25,75,C
1993,8,26,76,C
1993,8,27,77,C
1993,8,28,80,C
1993,8,29,80,C
1993,8,30,78,C
1993,8,31,76,C
1993,9,1,74,C
1993,9,2,67,C
1993,9,3,63,C
1993,9,4,74,C
1993,9,5,80,C
1993,9,6,71,C
1993,9,7,69,C
1993,9,8,73,C
1993,9,9,77,C
1993,9,10,76,C
1993,9,11,72,C
1993,9,12,75,C
1993,9,13,78,C
1993,9,14,76,C
1993,9,15,81,C
1993,9,16,75,C
1993,9,17,87,C
1993,9,18,88,C
1993,9,19,84,C
1993,9,20,77,C
1993,9,21,78,C
1993,9,22,79,C
1993,9,23,88,C
1993,9,24,91,C
1993,9,25,91,C
1993,9,26,94,C
1993,9,27,85,C
1993,9,28,80,C
1993,9,29,81,C
1993,9,30,78,C
1993,10,1,76,C
1993,10,2,65,C
1993,10,3,62,C
1993,10,4,62,C
1993,10,5,59,C
1993,10,6,49,C
1993,10,7,37,C
1993,10,8,50,C
1993,10,9,68,C
1993,10,10,69,C
1993,10,11,60,C
1993,10,12,71,C
1993,10,13,82,C
1993,10,14,87,C
1993,10,15,79,C
1993,10,16,78,C
1993,10,17,80,C
1993,10,18,66,C
1993,10,19,67,C
1993,10,20,70,C
1993,10,21,70,C
1993,10,22,63,C
1993,10,23,59,C
1993,10,24,65,C
1993,10,25,77,C
1993,10,26,83,C
1993,10,27,85,C
1993,10,28,80,C
1993,10,29,68,C
1993,10,30,45,C
1993,10,31,33,C
1993,11,1,42,C
1993,11,2,40,C
1993,11,3,58,C
1993,11,4,90,C
1993,11,5,93,C
1993,11,6,89,C
1993,11,7,81,C
1993,11,8,82,C
1993,11,9,81,C
1993,11,10,80,C
1993,11,11,81,C
1993,11,12,82,C
1993,11,13,61,C
1993,11,14,79,C
1993,11,15,80,C
1993,11,16,78,C
1993,11,17,81,C
1993,11,18,72,C
1993,11,19,77,C
1993,11,20,75,C
1993,11,21,63,C
1993,11,22,66,C
1993,11,23,53,C
1993,11,24,63,C
1993,11,25,85,C
1993,11,26,77,C
1993,11,27,68,C
1993,11,28,74,C
1993,11,29,75,C
1993,11,30,83,C
1993,12,1,87,C
1993,12,2,85,C
1993,12,3,81,C
1993,12,4,62,C
1993,12,5,58,C
1993,12,6,54,C
1993,12,7,54,C
1993,12,8,66,C
1993,12,9,64,C
1993,12,10,61,C
1993,12,11,71,C
1993,12,12,88,C
1993,12,13,92,#
1993,12,14,79,C
1993,12,15,82,C
1993,12,16,65,C
1993,12,17,56,C
1993,12,18,52,C
1993,12,19,54,C
1993,12,20,67,C
1993,12,21,44,C
1993,12,22,39,C
1993,12,23,46,C
1993,12,24,30,C
1993,12,25,40,C
1993,12,26,58,C
1993,12,27,58,C
1993,12,28,65,C
1993,12,29,66,C
1993,12,30,72,C
1993,12,31,54,C
1994,1,1,73,C
1994,1,2,76,C
1994,1,3,75,C
1994,1,4,75,C
1994,1,5,71,C
1994,1,6,67,C
1994,1,7,81,C
1994,1,8,79,C
1994,1,9,80,C
1994,1,10,81,C
1994,1,11,80,C
1994,1,12,81,C
1994,1,13,73,C
1994,1,14,75,C
1994,1,15,78,C
1994,1,16,84,C
1994,1,17,82,C
1994,1,18,80,C
1994,1,19,77,C
1994,1,20,73,C
1994,1,21,42,C
1994,1,22,43,C
1994,1,23,46,C
1994,1,24,58,C
1994,1,25,62,C
1994,1,26,68,C
1994,1,27,60,C
1994,1,28,62,C
1994,1,29,57,C
1994,1,30,65,C
1994,1,31,74,C
1994,2,1,75,C
1994,2,2,71,C
1994,2,3,72,C
1994,2,4,79,C
1994,2,5,86,C
1994,2,6,86,C
1994,2,7,91,C
1994,2,8,83,C
1994,2,9,66,C
1994,2,10,82,C
1994,2,11,91,#
1994,2,12,86,C
1994,2,13,86,C
1994,2,14,86,C
1994,2,15,89,C
1994,2,16,92,C
1994,2,17,91,C
1994,2,18,93,C
1994,2,19,94,C
1994,2,20,66,C
1994,2,21,63,C
1994,2,22,81,C
1994,2,23,87,C
1994,2,24,92,C
1994,2,25,77,C
1994,2,26,76,C
1994,2,27,81,C
1994,2,28,78,C
1994,3,1,74,C
1994,3,2,71,C
1994,3,3,72,C
1994,3,4,68,C
1994,3,5,64,C
1994,3,6,75,C
1994,3,7,86,C
1994,3,8,91,C
1994,3,9,92,C
1994,3,10,82,C
1994,3,11,85,C
1994,3,12,90,C
1994,3,13,90,C
1994,3,14,75,C
1994,3,15,81,C
1994,3,16,83,C
1994,3,17,78,C
1994,3,18,78,C
1994,3,19,78,C
1994,3,20,66,C
1994,3,21,64,C
1994,3,22,81,C
1994,3,23,61,C
1994,3,24,49,C
1994,3,25,48,C
1994,3,26,60,C
1994,3,27,67,#
1994,3,28,67,C
1994,3,29,79,C
1994,3,30,81,C
1994,3,31,87,C
1994,4,1,82,C
1994,4,2,82,C
1994,4,3,81,C
1994,4,4,80,C
1994,4,5,80,C
1994,4,6,82,C
1994,4,7,80,C
1994,4,8,82,C
1994,4,9,89,C
1994,4,10,89,C
1994,4,11,89,C
1994,4,12,89,C
1994,4,13,84,C
1994,4,14,85,C
1994,4,15,76,C
1994,4,16,80,C
1994,4,17,82,C
1994,4,18,85,C
1994,4,19,80,C
1994,4,20,79,C
1994,4,21,82,C
1994,4,22,82,C
1994,4,23,80,C
1994,4,24,80,C
1994,4,25,74,C
1994,4,26,76,C
1994,4,27,77,C
1994,4,28,78,C
1994,4,29,79,C
1994,4,30,78,C
1994,5,1,75,C
1994,5,2,75,C
1994,5,3,88,C
1994,5,4,82,C
1994,5,5,47,C
1994,5,6,65,C
1994,5,7,63,C
1994,5,8,67,C
1994,5,9,84,C
1994,5,10,79,C
1994,5,11,84,C
1994,5,12,85,C
1994,5,13,77,C
1994,5,14,78,C
1994,5,15,81,C
1994,5,16,76,C
1994,5,17,77,C
1994,5,18,74,C
1994,5,19,71,C
1994,5,20,78,C
1994,5,21,80,C
1994,5,22,77,C
1994,5,23,76,C
1994,5,24,75,C
1994,5,25,76,C
1994,5,26,78,C
1994,5,27,76,C
1994,5,28,89,C
1994,5,29,84,C
1994,5,30,88,C
1994,5,31,87,C
1994,6,1,80,C
1994,6,2,68,C
1994,6,3,76,C
1994,6,4,84,C
1994,6,5,70,C
1994,6,6,70,C
1994,6,7,87,C
1994,6,8,89,C
1994,6,9,83,C
1994,6,10,88,C
1994,6,11,86,C
1994,6,12,82,C
1994,6,13,80,C
1994,6,14,81,C
1994,6,15,81,C
1994,6,16,82,C
1994,6,17,82,C
1994,6,18,92,C
1994,6,19,94,C
1994,6,20,92,C
1994,6,21,89,C
1994,6,22,85,C
1994,6,23,81,#
1994,6,24,81,C
1994,6,25,83,C
1994,6,26,80,C
1994,6,27,81,C
1994,6,28,81,C
1994,6,29,81,C
1994,6,30,75,C
1994,7,1,74,C
1994,7,2,77,C
1994,7,3,82,C
1994,7,4,88,C
1994,7,5,89,C
1994,7,6,85,C
1994,7,7,87,C
1994,7,8,90,C
1994,7,9,79,C
1994,7,10,71,C
1994,7,11,73,C
1994,7,12,83,C
1994,7,13,88,C
1994,7,14,90,C
1994,7,15,93,C
1994,7,16,84,C
1994,7,17,87,C
1994,7,18,84,C
1994,7,19,79,C
1994,7,20,86,C
1994,7,21,90,C
1994,7,22,93,#
1994,7,23,93,#
1994,7,24,97,C
1994,7,25,96,C
1994,7,26,92,C
1994,7,27,91,C
1994,7,28,90,C
1994,7,29,86,C
1994,7,30,83,C
1994,7,31,84,C
1994,8,1,81,C
1994,8,2,80,C
1994,8,3,79,C
1994,8,4,84,C
1994,8,5,87,C
1994,8,6,88,#
1994,8,7,90,C
1994,8,8,88,C
1994,8,9,90,C
1994,8,10,87,C
1994,8,11,83,#
1994,8,12,82,C
1994,8,13,86,C
1994,8,14,83,C
1994,8,15,89,C
1994,8,16,94,C
1994,8,17,91,C
1994,8,18,80,C
1994,8,19,78,C
1994,8,20,81,#
1994,8,21,79,C
1994,8,22,74,C
1994,8,23,77,C
1994,8,24,78,C
1994,8,25,78,C
1994,8,26,85,C
1994,8,27,88,C
1994,8,28,89,C
1994,8,29,85,C
1994,8,30,78,C
1994,8,31,75,C
1994,9,1,76,C
1994,9,2,81,C
1994,9,3,85,C
1994,9,4,84,C
1994,9,5,89,C
1994,9,6,88,C
1994,9,7,86,C
1994,9,8,87,C
1994,9,9,82,C
1994,9,10,85,#
1994,9,11,82,C
1994,9,12,87,C
1994,9,13,79,C
1994,9,14,82,C
1994,9,15,77,C
1994,9,16,75,C
1994,9,17,78,C
1994,9,18,85,C
1994,9,19,82,C
1994,9,20,88,C
1994,9,21,89,C
1994,9,22,82,C
1994,9,23,88,C
1994,9,24,76,C
1994,9,25,75,C
1994,9,26,79,C
1994,9,27,83,C
1994,9,28,79,C
1994,9,29,70,C
1994,9,30,71,C
1994,10,1,75,C
1994,10,2,75,C
1994,10,3,76,C
1994,10,4,76,C
1994,10,5,76,C
1994,10,6,84,C
1994,10,7,78,C
1994,10,8,81,C
1994,10,9,66,C
1994,10,10,59,C
1994,10,11,60,C
1994,10,12,66,C
1994,10,13,78,C
1994,10,14,78,C
1994,10,15,81,C
1994,10,16,82,C
1994,10,17,76,C
1994,10,18,74,C
1994,10,19,73,C
1994,10,20,47,C
1994,10,21,32,C
1994,10,22,38,C
1994,10,23,40,C
1994,10,24,39,C
1994,10,25,50,C
1994,10,26,59,C
1994,10,27,63,C
1994,10,28,64,C
1994,10,29,67,C
1994,10,30,58,C
1994,10,31,56,C
1994,11,1,62,C
1994,11,2,65,C
1994,11,3,66,C
1994,11,4,60,C
1994,11,5,73,C
1994,11,6,70,C
1994,11,7,60,C
1994,11,8,65,C
1994,11,9,68,C
1994,11,10,74,C
1994,11,11,71,C
1994,11,12,73,C
1994,11,13,71,C
1994,11,14,75,C
1994,11,15,71,C
1994,11,16,71,C
1994,11,17,69,C
1994,11,18,74,C
1994,11,19,75,C
1994,11,20,76,C
1994,11,21,75,C
1994,11,22,68,C
1994,11,23,71,C
1994,11,24,69,C
1994,11,25,72,C
1994,11,26,79,C
1994,11,27,79,C
1994,11,28,80,C
1994,11,29,77,C
1994,11,30,78,C
1994,12,1,75,C
1994,12,2,82,C
1994,12,3,82,C
1994,12,4,70,C
1994,12,5,67,C
1994,12,6,69,C
1994,12,7,72,C
1994,12,8,92,#
1994,12,9,92,C
1994,12,10,92,C
1994,12,11,92,C
1994,12,12,92,C
1994,12,13,79,C
1994,12,14,80,C
1994,12,15,76,C
1994,12,16,77,C
1994,12,17,71,C
1994,12,18,69,C
1994,12,19,70,C
1994,12,20,65,C
1994,12,21,65,C
1994,12,22,71,C
1994,12,23,75,C
1994,12,24,88,C
1994,12,25,91,C
1994,12,26,86,C
1994,12,27,76,C
1994,12,28,71,C
1994,12,29,75,C
1994,12,30,80,C
1994,12,31,76,C
1995,1,1,71,C
1995,1,2,71,C
1995,1,3,83,C
1995,1,4,49,C
1995,1,5,30,C
1995,1,6,42,C
1995,1,7,60,C
1995,1,8,70,C
1995,1,9,72,C
1995,1,10,81,C
1995,1,11,82,C
1995,1,12,67,C
1995,1,13,63,C
1995,1,14,68,C
1995,1,15,69,C
1995,1,16,64,C
1995,1,17,72,C
1995,1,18,74,C
1995,1,19,73,C
1995,1,20,84,C
1995,1,21,84,C
1995,1,22,84,C
1995,1,23,77,C
1995,1,24,72,C
1995,1,25,74,C
1995,1,26,80,C
1995,1,27,86,C
1995,1,28,80,C
1995,1,29,76,C
1995,1,30,77,C
1995,1,31,67,C
1995,2,1,50,C
1995,2,2,50,C
1995,2,3,52,C
1995,2,4,39,C
1995,2,5,28,C
1995,2,6,45,C
1995,2,7,60,C
1995,2,8,70,C
1995,2,9,74,C
1995,2,10,64,C
1995,2,11,66,C
1995,2,12,72,C
1995,2,13,84,C
1995,2,14,92,C
1995,2,15,88,C
1995,2,16,73,C
1995,2,17,79,C
1995,2,18,94,C
1995,2,19,93,C
1995,2,20,89,C
1995,2,21,92,C
1995,2,22,91,C
1995,2,23,89,C
1995,2,24,86,C
1995,2,25,84,C
1995,2,26,82,C
1995,2,27,88,C
1995,2,28,67,C
1995,3,1,77,C
1995,3,2,92,C
1995,3,3,60,C
1995,3,4,35,C
1995,3,5,62,C
1995,3,6,57,C
1995,3,7,56,C
1995,3,8,65,C
1995,3,9,82,C
1995,3,10,77,C
1995,3,11,86,C
1995,3,12,86,C
1995,3,13,79,C
1995,3,14,87,C
1995,3,15,87,C
1995,3,16,92,C
1995,3,17,87,C
1995,3,18,78,C
1995,3,19,74,C
1995,3,20,68,C
1995,3,21,79,C
1995,3,22,84,C
1995,3,23,86,C
1995,3,24,88,C
1995,3,25,73,C
1995,3,26,50,C
1995,3,27,67,C
1995,3,28,62,C
1995,3,29,86,C
1995,3,30,95,C
1995,3,31,92,C
1995,4,1,90,C
1995,4,2,94,C
1995,4,3,84,C
1995,4,4,78,C
1995,4,5,87,C
1995,4,6,91,C
1995,4,7,92,C
1995,4,8,82,C
1995,4,9,87,C
1995,4,10,88,C
1995,4,11,84,C
1995,4,12,85,C
1995,4,13,87,C
1995,4,14,86,C
1995,4,15,83,#
1995,4,16,83,C
1995,4,17,84,C
1995,4,18,83,C
1995,4,19,86,C
1995,4,20,82,C
1995,4,21,88,C
1995,4,22,84,C
1995,4,23,78,C
1995,4,24,85,C
1995,4,25,82,C
1995,4,26,83,C
1995,4,27,79,C
1995,4,28,81,C
1995,4,29,84,C
1995,4,30,82,C
1995,5,1,81,C
1995,5,2,81,C
1995,5,3,84,C
1995,5,4,86,C
1995,5,5,76,C
1995,5,6,69,C
1995,5,7,77,C
1995,5,8,83,C
1995,5,9,84,C
1995,5,10,77,C
1995,5,11,83,C
1995,5,12,86,C
1995,5,13,85,C
1995,5,14,79,C
1995,5,15,78,C
1995,5,16,88,C
1995,5,17,89,C
1995,5,18,92,C
1995,5,19,84,C
1995,5,20,79,#
1995,5,21,79,C
1995,5,22,81,C
1995,5,23,86,C
1995,5,24,82,C
1995,5,25,85,C
1995,5,26,81,C
1995,5,27,77,C
1995,5,28,82,C
1995,5,29,76,C
1995,5,30,77,C
1995,5,31,79,C
1995,6,1,82,C
1995,6,2,82,C
1995,6,3,80,C
1995,6,4,73,C
1995,6,5,84,C
1995,6,6,79,C
1995,6,7,86,C
1995,6,8,91,C
1995,6,9,85,C
1995,6,10,86,C
1995,6,11,90,C
1995,6,12,73,C
1995,6,13,76,C
1995,6,14,89,C
1995,6,15,80,#
1995,6,16,79,#
1995,6,17,81,C
1995,6,18,86,#
1995,6,19,79,C
1995,6,20,79,C
1995,6,21,77,C
1995,6,22,77,C
1995,6,23,75,C
1995,6,24,74,C
1995,6,25,74,C
1995,6,26,77,C
1995,6,27,77,C
1995,6,28,83,C
1995,6,29,81,C
1995,6,30,82,C
1995,7,1,83,C
1995,7,2,91,C
1995,7,3,92,C
1995,7,4,90,C
1995,7,5,85,C
1995,7,6,82,C
1995,7,7,83,C
1995,7,8,82,C
1995,7,9,85,C
1995,7,10,79,C
1995,7,11,78,C
1995,7,12,86,C
1995,7,13,95,C
1995,7,14,95,C
1995,7,15,96,C
1995,7,16,90,C
1995,7,17,83,C
1995,7,18,77,C
1995,7,19,77,C
1995,7,20,78,C
1995,7,21,78,C
1995,7,22,78,C
1995,7,23,78,C
1995,7,24,80,C
1995,7,25,89,C
1995,7,26,87,C
1995,7,27,95,C
1995,7,28,85,C
1995,7,29,78,C
1995,7,30,73,C
1995,7,31,78,C
1995,8,1,82,C
1995,8,2,88,C
1995,8,3,95,C
1995,8,4,94,C
1995,8,5,96,C
1995,8,6,92,C
1995,8,7,91,C
1995,8,8,89,C
1995,8,9,81,C
1995,8,10,78,C
1995,8,11,82,C
1995,8,12,93,C
1995,8,13,86,#
1995,8,14,95,C
1995,8,15,89,C
1995,8,16,85,C
1995,8,17,81,C
1995,8,18,80,C
1995,8,19,81,C
1995,8,20,80,C
1995,8,21,77,C
1995,8,22,81,C
1995,8,23,80,C
1995,8,24,84,C
1995,8,25,78,C
1995,8,26,81,C
1995,8,27,91,C
1995,8,28,85,C
1995,8,29,84,C
1995,8,30,77,C
1995,8,31,84,C
1995,9,1,90,C
1995,9,2,89,C
1995,9,3,80,C
1995,9,4,78,C
1995,9,5,76,C
1995,9,6,87,C
1995,9,7,82,C
1995,9,8,84,C
1995,9,9,79,C
1995,9,10,78,C
1995,9,11,76,C
1995,9,12,75,C
1995,9,13,74,C
1995,9,14,81,C
1995,9,15,75,C
1995,9,16,79,C
1995,9,17,76,C
1995,9,18,70,C
1995,9,19,68,C
1995,9,20,74,C
1995,9,21,64,C
1995,9,22,59,C
1995,9,23,57,C
1995,9,24,75,C
1995,9,25,78,C
1995,9,26,71,C
1995,9,27,66,C
1995,9,28,77,C
1995,9,29,77,C
1995,9,30,75,C
1995,10,1,73,C
1995,10,2,84,C
1995,10,3,90,C
1995,10,4,83,C
1995,10,5,93,C
1995,10,6,90,C
1995,10,7,74,C
1995,10,8,70,C
1995,10,9,71,C
1995,10,10,75,C
1995,10,11,73,#
1995,10,12,77,C
1995,10,13,82,C
1995,10,14,87,C
1995,10,15,90,C
1995,10,16,73,C
1995,10,17,71,C
1995,10,18,78,C
1995,10,19,78,C
1995,10,20,74,C
1995,10,21,74,C
1995,10,22,70,C
1995,10,23,68,C
1995,10,24,70,C
1995,10,25,65,C
1995,10,26,68,C
1995,10,27,70,C
1995,10,28,73,C
1995,10,29,78,C
1995,10,30,72,C
1995,10,31,51,C
1995,11,1,53,C
1995,11,2,63,C
1995,11,3,55,C
1995,11,4,43,C
1995,11,5,56,C
1995,11,6,77,C
1995,11,7,70,C
1995,11,8,45,C
1995,11,9,58,C
1995,11,10,55,C
1995,11,11,48,C
1995,11,12,62,C
1995,11,13,73,C
1995,11,14,70,C
1995,11,15,70,C
1995,11,16,64,C
1995,11,17,66,C
1995,11,18,71,C
1995,11,19,64,C
1995,11,20,52,C
1995,11,21,62,C
1995,11,22,67,C
1995,11,23,45,C
1995,11,24,27,C
1995,11,25,42,C
1995,11,26,70,C
1995,11,27,76,C
1995,11,28,73,C
1995,11,29,77,C
1995,11,30,77,#
1995,12,1,76,C
1995,12,2,72,C
1995,12,3,67,C
1995,12,4,60,C
1995,12,5,51,C
1995,12,6,38,C
1995,12,7,36,C
1995,12,8,39,C
1995,12,9,57,C
1995,12,10,67,C
1995,12,11,73,C
1995,12,12,70,C
1995,12,13,69,C
1995,12,14,75,C
1995,12,15,87,C
1995,12,16,83,C
1995,12,17,84,C
1995,12,18,76,C
